Country, Survey, Type, Phase, Manual, Data, GPS, Bio, SPA
Central African Republic,  1994-95, Standard DHS, DHS-III, DHS-III, Central-African-Republic_Standard-DHS_1994.cfm, Central-African-Republic_Standard-DHS_1994.cfm, Not Collected, Not Applicable
Chad,  2004, Standard DHS, DHS-IV, DHS-IV, Chad_Standard-DHS_2004.cfm, Not Collected, Not Collected, Not Applicable
Chad,  1996-97, Standard DHS, DHS-III, DHS-III, Chad_Standard-DHS_1997.cfm, Not Collected, Not Collected, Not Applicable
Colombia,  2010, Standard DHS, DHS-VI, DHS-V, Colombia_Standard-DHS_2010.cfm, Colombia_Standard-DHS_2010.cfm, Not Collected, Not Applicable
Colombia,  2005, Standard DHS, DHS-V, DHS-IV, Colombia_Standard-DHS_2005.cfm, Not Collected, Not Collected, Not Applicable
Colombia,  2000, Standard DHS, DHS-IV, DHS-IV, Colombia_Standard-DHS_2000.cfm, Not Collected, Not Collected, Not Applicable
Colombia,  1995, Standard DHS, DHS-III, DHS-III, Colombia_Standard-DHS_1995.cfm, Not Collected, Not Collected, Not Applicable
Colombia,  1990, Standard DHS, DHS-II, DHS-II, Colombia_Standard-DHS_1990.cfm, Not Collected, Not Collected, Not Applicable
Colombia,  1986, Standard DHS, DHS-I, DHS-I, Colombia_Standard-DHS_1986.cfm, Not Collected, Not Collected, Not Applicable
Comoros,  2012, Standard DHS, DHS-VI, DHS-VI, Comoros_Standard-DHS_2012.cfm, Comoros_Standard-DHS_2012.cfm, Not Collected, Not Applicable
Comoros,  1996, Standard DHS, DHS-III, DHS-III, Comoros_Standard-DHS_1996.cfm, Not Collected, Not Collected, Not Applicable
Congo Brazzaville,  2011-12, Standard DHS, DHS-VI, DHS-VI, Congo-Brazzaville_Standard-DHS_2011.cfm, Not Collected, Not Collected, Not Applicable
Congo Brazzaville,  2009, Standard AIS, DHS-V, DHS-V, Congo-Brazzaville_Standard-AIS_2009.cfm, Not Collected, Congo-Brazzaville_Standard-AIS_2009.cfm, Not Applicable
Congo Brazzaville,  2005, Standard DHS, DHS-V, DHS-V, Congo-Brazzaville_Standard-DHS_2005.cfm, Not Collected, Not Collected, Not Applicable
Congo Democratic Republic,  2013-14, Standard DHS, DHS-VI, DHS-VI, Congo-Democratic-Republic_Standard-DHS_2013.cfm, Congo-Democratic-Republic_Standard-DHS_2013.cfm, Congo-Democratic-Republic_Standard-DHS_2013.cfm, Not Applicable
Congo Democratic Republic,  2007, Standard DHS, DHS-V, DHS-V, Congo-Democratic-Republic_Standard-DHS_2007.cfm, Congo-Democratic-Republic_Standard-DHS_2007.cfm, Congo-Democratic-Republic_Standard-DHS_2007.cfm, Not Applicable
Cote d'Ivoire,  2011-12, Standard DHS, DHS-VI, DHS-VI, Cote-d-Ivoire_Standard-DHS_2012.cfm, Cote-d-Ivoire_Standard-DHS_2012.cfm, Cote-d-Ivoire_Standard-DHS_2012.cfm, Not Applicable
Cote d'Ivoire,  2005, Standard AIS, DHS-V, DHS-V, Cote-d-Ivoire_Standard-AIS_2005.cfm, Not Collected, Not Yet Available, Not Applicable
Cote d'Ivoire,  1998-99, Standard DHS, DHS-III, DHS-III, Cote-d-Ivoire_Standard-DHS_1998.cfm, Cote-d-Ivoire_Standard-DHS_1998.cfm, Not Collected, Not Applicable
Cote d'Ivoire,  1994, Standard DHS, DHS-III, DHS-III, Cote-d-Ivoire_Standard-DHS_1994.cfm, Cote-d-Ivoire_Standard-DHS_1994.cfm, Not Collected, Not Applicable
Dominican Republic,  2013, Standard DHS, DHS-VI, DHS-VI, Dominican-Republic_Standard-DHS_2013.cfm, Dominican-Republic_Standard-DHS_2013.cfm, Dominican-Republic_Standard-DHS_2013.cfm, Not Applicable
Dominican Republic,  2013, Special DHS, DHS-VI, DHS-VI, Dominican-Republic_Special-DHS_2013.cfm, Dominican-Republic_Special-DHS_2013.cfm, Dominican-Republic_Special-DHS_2013.cfm, Not Applicable
Dominican Republic,  2007, Standard DHS, DHS-V, DHS-V, Dominican-Republic_Standard-DHS_2007.cfm, Dominican-Republic_Standard-DHS_2007.cfm, Dominican-Republic_Standard-DHS_2007.cfm, Not Applicable
Dominican Republic,  2007, Special DHS, DHS-V, DHS-V, Dominican-Republic_Special-DHS_2007.cfm, Not Collected, Dominican-Republic_Special-DHS_2007.cfm, Not Applicable
Dominican Republic,  2002, Standard DHS, DHS-IV, DHS-IV, Dominican-Republic_Standard-DHS_2002.cfm, Not Collected, Dominican-Republic_Standard-DHS_2002.cfm, Not Applicable
Dominican Republic,  1999, Standard DHS, DHS-IV, DHS-IV, Dominican-Republic_Standard-DHS_1999.cfm, Not Collected, Not Collected, Not Applicable
Dominican Republic,  1996, Standard DHS, DHS-III, DHS-III, Dominican-Republic_Standard-DHS_1996.cfm, Not Collected, Not Collected, Not Applicable
Dominican Republic,  1991, Standard DHS, DHS-II, DHS-II, Dominican-Republic_Standard-DHS_1991.cfm, Not Collected, Not Collected, Not Applicable
Dominican Republic,  1986, Standard DHS, DHS-I, DHS-I, Dominican-Republic_Standard-DHS_1986.cfm, Not Collected, Not Collected, Not Applicable
Dominican Republic,  1986, Experimental, DHS-I, --, Dominican-Republic_Experimental_1986.cfm, Not Collected, Not Collected, Not Applicable
Ecuador,  1987, Standard DHS, DHS-I, DHS-I, Ecuador_Standard-DHS_1987.cfm, Not Collected, Not Collected, Not Applicable
Egypt,  2015, Special, DHS-VII, --, Egypt_Special_2015.cfm, Not Yet Available, Not Yet Available, Not Applicable
Egypt,  2014, Standard DHS, DHS-VI, DHS-VI, Egypt_Standard-DHS_2014.cfm, Not Yet Available, Not Collected, Not Applicable
Egypt,  2008, Standard DHS, DHS-V, DHS-V, Egypt_Standard-DHS_2008.cfm, Egypt_Standard-DHS_2008.cfm, Egypt_Standard-DHS_2008.cfm, Not Applicable
Egypt,  2005, Standard DHS, DHS-V, DHS-IV, Egypt_Standard-DHS_2005.cfm, Egypt_Standard-DHS_2005.cfm, Not Collected, Not Applicable
Egypt,  2004, MCH SPA, DHS-V, --, Not Applicable, Not Distributed, Not Collected, Egypt_MCH-SPA_2004.cfm
Egypt,  2003, Interim DHS, DHS-IV, DHS-IV, Egypt_Interim-DHS_2003.cfm, Egypt_Interim-DHS_2003.cfm, Not Collected, Not Applicable
Egypt,  2002, MCH SPA, DHS-IV, --, Not Applicable, Not Distributed, Not Collected, Egypt_MCH-SPA_2002.cfm
Egypt,  2000, Standard DHS, DHS-IV, DHS-IV, Egypt_Standard-DHS_2000.cfm, Egypt_Standard-DHS_2000.cfm, Not Collected, Not Applicable
Egypt,  1998, Interim DHS, DHS-III, --, Not In Public Domain, Not Collected, Not Collected, Not Applicable
Egypt,  1996-97, In Depth, DHS-III, --, Egypt_In-Depth_1997.cfm, Not Collected, Not Collected, Not Applicable
Egypt,  1997, Interim DHS, DHS-III, --, Not In Public Domain, Not Collected, Not Collected, Not Applicable
Egypt,  1995, Standard DHS, DHS-III, DHS-III, Egypt_Standard-DHS_1995.cfm, Egypt_Standard-DHS_1995.cfm, Not Collected, Not Applicable
